Season,League,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
2017-2018,La Liga,1,Aly Abeid,mr MTN,DF,Levante,19,1997,1,1,76,0,0,0,0,0,0
2017-2018,La Liga,2,Antonio Adán,es ESP,GK,Betis,30,1987,30,30,"2,700",0,0,0,0,4,0
2017-2018,La Liga,3,Aday,es ESP,"DF,MF",Girona,29,1987,31,20,"1,840",2,0,1,2,10,0
2017-2018,La Liga,4,Aritz Aduriz,es ESP,FW,Athletic Club,36,1981,33,21,"2,155",9,3,3,5,5,0
2017-2018,La Liga,5,Martin Agirregabiria,es ESP,DF,Alavés,21,1996,21,20,"1,827",0,4,0,0,4,0
2017-2018,La Liga,6,Imanol Agirretxe,es ESP,FW,Real Sociedad,30,1987,11,2,238,0,0,0,0,0,0
2017-2018,La Liga,7,Matías Aguirregaray,uy URU,DF,Las Palmas,28,1989,15,14,"1,152",0,0,0,0,3,0
2017-2018,La Liga,8,Ager Aketxe,es ESP,MF,Athletic Club,23,1993,3,0,41,0,0,0,0,1,0
2017-2018,La Liga,9,David Alba,es ESP,DF,Getafe,18,1999,1,1,61,0,0,0,0,0,0
2017-2018,La Liga,10,Jordi Alba,es ESP,DF,Barcelona,28,1989,33,30,"2,741",2,6,0,0,7,0
2017-2018,La Liga,11,Raúl Albentosa,es ESP,DF,La Coruña,28,1988,20,19,"1,747",1,0,0,0,5,0
2017-2018,La Liga,12,Paco Alcácer,es ESP,"FW,MF",Barcelona,23,1993,17,8,698,4,2,0,0,0,0
2017-2018,La Liga,13,Pedro Alcalá,es ESP,DF,Girona,28,1989,8,8,688,1,0,0,0,4,0
2017-2018,La Liga,14,Steve Aldo One,es ESP,DF,La Coruña,22,1995,1,1,90,0,0,0,0,0,0
2017-2018,La Liga,15,Álex Alegría,es ESP,FW,Levante,24,1992,9,8,625,0,1,0,0,1,0
2017-2018,La Liga,16,Iván Alejo,es ESP,"FW,MF",Eibar,22,1995,22,14,"1,127",1,3,0,0,5,0
2017-2018,La Liga,17,Alexander,ar ARG,"FW,MF",Leganés,28,1988,13,13,"1,056",2,2,1,1,1,0
2017-2018,La Liga,18,Alexis,es ESP,DF,Alavés,31,1985,28,25,"2,183",1,0,0,0,6,0
2017-2018,La Liga,19,José Alonso Lara,es ESP,FW,Sevilla,17,2000,1,0,9,0,0,0,0,0,0
2017-2018,La Liga,20,Sergio Álvarez,es ESP,GK,Celta Vigo,30,1986,17,16,"1,479",0,0,0,0,0,0
2017-2018,La Liga,21,Yeray Álvarez,es ESP,DF,Athletic Club,22,1995,8,7,675,0,0,0,0,2,0
2017-2018,La Liga,22,Eloi Amagat,es ESP,"FW,MF",Girona,32,1985,2,0,17,0,0,0,0,0,0
2017-2018,La Liga,23,Jordi Amat,es ESP,"DF,MF",Betis,25,1992,25,24,"2,047",0,0,0,0,7,3
2017-2018,La Liga,24,Amath,sn SEN,"MF,FW",Getafe,21,1996,37,36,"2,835",3,0,0,0,9,0
2017-2018,La Liga,25,Nordin Amrabat,ma MAR,"FW,MF",Leganés,30,1987,30,17,"1,622",2,1,0,0,6,2
2017-2018,La Liga,26,Jon Ander Serantes,es ESP,GK,Leganés,27,1989,1,1,90,0,0,0,0,0,0
2017-2018,La Liga,27,Florin Andone,ro ROU,FW,La Coruña,24,1993,29,16,"1,636",7,3,0,0,6,0
2017-2018,La Liga,28,Miguel Ángel Guerrero,es ESP,FW,Leganés,27,1990,22,15,"1,445",4,3,0,1,3,0
2017-2018,La Liga,29,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,33,1984,9,9,763,0,0,0,0,0,0
2017-2018,La Liga,30,Miguel Ángel Rubio,es ESP,DF,Getafe,19,1998,1,0,29,0,0,0,0,0,0
2017-2018,La Liga,31,José Ángel,es ESP,DF,Eibar,27,1989,30,28,"2,423",0,7,0,0,4,0
2017-2018,La Liga,32,Vitorino Antunes,pt POR,DF,Getafe,30,1987,34,31,"2,801",0,2,0,1,14,0
2017-2018,La Liga,33,Alberto Aquilani,it ITA,MF,Las Palmas,33,1984,21,15,"1,298",0,0,0,0,4,0
2017-2018,La Liga,34,Mauro Arambarri,uy URU,MF,Getafe,21,1995,27,26,"2,125",1,2,0,0,9,2
2017-2018,La Liga,35,Guilherme Arana,br BRA,DF,Sevilla,20,1997,3,2,193,0,0,0,0,0,0
2017-2018,La Liga,36,Sergio Araujo,ar ARG,"FW,MF",Las Palmas,25,1992,2,0,40,0,0,0,0,0,0
2017-2018,La Liga,37,Anaitz Arbilla,es ESP,DF,Eibar,30,1987,29,26,"2,416",2,1,0,0,8,0
2017-2018,La Liga,38,José Arnaiz,es ESP,MF,Barcelona,22,1995,1,0,6,0,0,0,0,0,0
2017-2018,La Liga,39,Alejandro Arribas,es ESP,DF,La Coruña,28,1989,3,3,270,0,0,0,0,0,0
2017-2018,La Liga,40,Sergio Arribas,es ESP,FW,Leganés,22,1995,1,0,24,0,0,0,0,0,0
2017-2018,La Liga,41,Kepa Arrizabalaga,es ESP,GK,Athletic Club,22,1994,30,30,"2,700",0,0,0,0,4,0
2017-2018,La Liga,42,Aythami Artiles,es ESP,DF,Las Palmas,31,1986,3,2,185,0,0,0,0,0,0
2017-2018,La Liga,43,Sergio Asenjo,es ESP,GK,Villarreal,28,1989,23,23,"2,070",0,0,0,0,3,0
2017-2018,La Liga,44,Marco Asensio,es ESP,"FW,MF",Real Madrid,21,1996,32,19,"1,845",6,4,0,0,2,0
2017-2018,La Liga,45,Iago Aspas,es ESP,FW,Celta Vigo,29,1987,34,33,"2,933",22,5,2,3,9,0
2017-2018,La Liga,46,Carlos Bacca,co COL,FW,Villarreal,30,1986,35,30,"2,477",15,5,1,1,9,0
2017-2018,La Liga,47,Cédric Bakambu,cd COD,FW,Villarreal,26,1991,15,15,"1,258",9,0,1,1,5,0
2017-2018,La Liga,48,Zakaria Bakkali,be BEL,"FW,MF",La Coruña,21,1996,23,10,914,0,0,0,0,5,0
2017-2018,La Liga,49,Gareth Bale,wal WAL,"FW,MF",Real Madrid,28,1989,26,20,"1,794",16,4,1,1,5,0
2017-2018,La Liga,50,Mikel Balenziaga,es ESP,DF,Athletic Club,29,1988,18,18,"1,547",0,2,0,0,1,0
2017-2018,La Liga,51,Éver Banega,ar ARG,MF,Sevilla,29,1988,31,25,"2,399",3,3,3,3,9,1
2017-2018,La Liga,52,Léo Baptistão,br BRA,"FW,MF",Espanyol,24,1992,36,31,"2,672",8,3,0,0,4,0
2017-2018,La Liga,53,Mariano Barbosa,ar ARG,GK,Villarreal,33,1984,13,12,"1,125",0,0,0,0,0,0
2017-2018,La Liga,54,Enis Bardhi,mk MKD,MF,Levante,22,1995,26,16,"1,582",9,1,0,0,9,0
2017-2018,La Liga,55,Antonio Barragán,es ESP,"DF,MF",Betis,30,1987,29,28,"2,370",0,7,0,0,7,0
2017-2018,La Liga,56,Barri,es ESP,"MF,FW",Getafe,21,1995,2,1,115,0,0,0,0,0,0
